,Nr.,Name,Abbrev.,General Formula,Specific Formula,Calculated,Info.,description
215,216,Single Band 801,SB801,801nm,8,Automatic,More,"Single Band 801 (SB801) is a spectral index derived from the Sentinel-2 satellite imagery. It utilizes the reflectance values recorded in the near-infrared (NIR) band (band 8) at a wavelength of 801 nanometers. The purpose of SB801 is to enhance the discrimination of dense vegetation, particularly forests, from other land cover types.

By leveraging the strong absorption of NIR radiation by vegetation, SB801 effectively highlights areas with high vegetation density. It is commonly employed in forestry applications to assess forest health, monitor biomass, and map forest extent. Additionally, SB801 can be valuable in agricultural monitoring to identify areas with dense crop cover or estimate crop yields."
216,217,Single Band 850,SB850,850nm,8,Automatic,More,"* **SB850 (Single Band 850):** This index represents the reflectance values recorded by Sentinel-2's band 8, which operates in the near-infrared spectrum. Specifically, it measures the amount of light reflected by the target in the wavelength range of 842-865 nanometers. SB850 provides valuable information on vegetation health, chlorophyll content, and the presence of certain plant species."
217,218,Single Band 885,SB885,885nm,8,Automatic,More,"Single Band 885 (SB885) is a spectral index derived from the Sentinel-2 satellite imagery. It utilizes a single spectral band centered at 885 nanometers (nm), which falls within the near-infrared (NIR) portion of the electromagnetic spectrum. This band is particularly sensitive to the presence of vegetation, making SB885 an effective indicator of vegetation cover, biomass, and health. Higher values of SB885 typically correspond to areas with dense vegetation, while lower values indicate sparse or non-vegetated areas."
218,219,Soil Adjusted Vegetation Index,SAVI,800nm-670nm800nm+670nm+L(1+L),8-48+4+L(1+L),Automatic,More,"The Soil Adjusted Vegetation Index (SAVI) is a vegetation index specifically designed to minimize soil brightness influences on vegetation measurements. It is calculated using the formula:

SAVI = ((NIR - RED) / (NIR + RED + L)) * (1 + L),

where NIR is the near-infrared band reflectance, RED is the red band reflectance, and L is a soil adjustment factor. The soil adjustment factor (L) is typically set at 0.5, but can be adjusted based on the specific soil conditions of the study area. The SAVI is particularly useful for areas with sparse vegetation cover or bright soils, as it can enhance the contrast between vegetated and non-vegetated areas."
219,220,Soil and Atmospherically Resistant Vegetation Index,SARVI,(1+L)800nm-(Rr-y(RB-Rr))800nm+-(Rr-y(RB-Rr))+L,(1+L)8-(Rr-y(RB-Rr))8+-(Rr-y(RB-Rr))+L,Automatic,More,"Soil and Atmospherically Resistant Vegetation Index (SARVI) is a vegetation index that is designed to be resistant to soil brightness and atmospheric effects. It is calculated using the following formula:

SARVI = (NIR - Red)/(NIR + Red + Blue)

where NIR is the near-infrared band, Red is the red band, and Blue is the blue band.

SARVI is a widely used vegetation index that has been shown to be effective for a variety of applications, including crop monitoring, land cover classification, and forest health assessment."
220,221,Soil and Atmospherically Resistant Vegetation Index 2,SARVI2,"2,5NIR-RED1+NIR+6RED-7,5BLUE","2,59-51+9+65-7,51",Automatic,More,"The Soil and Atmospherically Resistant Vegetation Index 2 (SARVI2) is a satellite-derived index specifically developed to enhance vegetation information while minimizing soil and atmospheric influences, making it particularly useful for applications in agriculture, forestry, and land use studies. SARVI2 is calculated using the near-infrared (NIR), red, and blue bands of satellite imagery, allowing it to effectively capture the spectral characteristics of vegetation and reduce the impact of soil brightness and atmospheric conditions. By enhancing vegetation signals, SARVI2 facilitates more accurate monitoring of plant growth, biomass estimation, and land cover classification, making it a valuable tool for remote sensing applications."
221,222,Soil and Atmospherically Resistant Vegetation Index 3,SAVI3,"(1+0,5)833nm-658nm833nm+658nm+0,5","(1+0,5)8-48+4+0,5",Automatic,More,"The Soil and Atmospherically Resistant Vegetation Index 3 (SAVI3) is a vegetation index designed to minimize soil and atmospheric effects on vegetation reflectance. It is calculated using the formula:

SAVI3 = (2 * NIR + 1 - sqrt((2 * NIR + 1)^2 - 8 * (NIR - RED))) / 2

where NIR is the reflectance in the near-infrared band and RED is the reflectance in the red band.

SAVI3 is sensitive to changes in vegetation cover and can be used to monitor vegetation growth, health, and productivity. It is particularly useful in areas with high soil background reflectance or atmospheric interference."
222,223,Soil Background Line,SBL,[800:1100]-2.4[600:700],9-2.44,Automatic,More,"Soil Background Line (SBL) is an index designed to estimate the soil background reflectance from an image. It is calculated using a linear combination of the red, green, and blue bands of the Sentinel-2 imagery, and is used to remove the influence of soil reflectance from other vegetation indices, such as the Normalized Difference Vegetation Index (NDVI). This allows for more accurate estimation of vegetation properties, such as leaf area index and chlorophyll content."
223,224,Soil Composition Index,,[1600:1700]-[760:860][1600:1700]+[760:860],11-811+8,Automatic,More,"The Soil Composition Index (SCI) is a remote sensing index derived from Sentinel-2 imagery that provides information about the soil's composition and properties. It is calculated using a combination of spectral bands, typically involving the visible, near-infrared, and shortwave infrared bands. SCI is particularly sensitive to soil organic matter, moisture content, and texture. Higher SCI values indicate increased soil organic matter and moisture, while lower values suggest coarser soil texture and lower organic matter content. The index is widely used in soil mapping, agricultural monitoring, and environmental studies to assess soil quality, monitor soil degradation, and support precision farming practices."
224,225,Soil-adjusted vegetation index 2,SAVI2,NIRRED+ba,95+ba,Automatic,More,"Soil-adjusted vegetation index 2 (SAVI2) is a vegetation index derived from Sentinel-2 satellite imagery. It is designed to enhance the vegetation signal and minimize the soil background effects, making it particularly useful for studying vegetation cover and its dynamics. SAVI2 is calculated using the formula:
 
SAVI2 = (NIR - RED) / (NIR + RED + L) x (1 + L), 
where NIR is the near-infrared band, RED is the red band, and L is a soil adjustment factor typically set to 0.5. 

This formula incorporates a soil adjustment factor to account for soil reflectance, which can influence the vegetation signal, especially in areas with low vegetation cover or bare soil. By incorporating this factor, SAVI2 provides more accurate vegetation indices estimates, making it particularly suitable for studying vegetation in semi-arid and agricultural regions."
225,226,Specific Leaf Area Vegetation Index,SLAVI,NIRRED+SWIR,95+12,Automatic,More,"The Specific Leaf Area Vegetation Index (SLAVI) is a spectral vegetation index designed to estimate the specific leaf area (SLA) of vegetation using remotely sensed data. SLA is a key leaf morphological trait that influences various physiological and ecological processes, such as photosynthesis, water-use efficiency, and nutrient cycling. SLAVI is calculated using the near-infrared (NIR) and red (RED) bands of satellite imagery, with the NIR band representing photosynthetically active radiation absorbed by leaves and the RED band representing chlorophyll absorption. By combining these bands, SLAVI provides an estimate of SLA, which can be used to monitor plant growth, assess vegetation health, and study the relationship between leaf structure and function in different ecosystems."
226,227,SQRT(IR/R),SQRT(IR/R),√NIRRED,√95,Automatic,More,"The SQRT(IR/R) index is a measure of vegetation water content and canopy density. It is calculated by taking the square root of the ratio of the near-infrared (IR) band to the red (R) band. The IR band is sensitive to vegetation, while the R band is sensitive to soil and other non-vegetated surfaces. Therefore, the SQRT(IR/R) index is a good indicator of the amount of vegetation and its health. Higher values of the index indicate more vegetation and/or healthier vegetation, while lower values indicate less vegetation and/or less healthy vegetation."
227,228,Structure Intensive Pigment Index 1,SIPI1,800nm-445nm800nm-680nm,8-18-4,Automatic,More,"Structure Intensive Pigment Index 1 (SIPI1) is an index that measures the amount of chlorophyll and carotenoids in vegetation. It is calculated using the following formula:

SIPI1 = (ρ865 - ρ665) / (ρ865 + ρ665)

where ρ865 is the reflectance at 865 nm and ρ665 is the reflectance at 665 nm.

SIPI1 values range from -1 to 1. Values close to 1 indicate high levels of chlorophyll and carotenoids, while values close to -1 indicate low levels of chlorophyll and carotenoids. SIPI1 is often used to monitor vegetation health and productivity."
228,229,Structure Intensive Pigment Index 3,SIPI3,800nm-470nm800nm-680nm,8-28-4,Automatic,More,"The Structure Intensive Pigment Index 3 (SIPI3) is a spectral index designed to estimate the concentration of chlorophyll in plant canopies. It is calculated as the ratio of the reflectance in the blue and red bands, and is sensitive to the amount of chlorophyll in the plant canopy. SIPI3 values range from 0 to 1, with higher values indicating higher chlorophyll concentrations. SIPI3 is particularly useful for monitoring vegetation health and productivity, as chlorophyll concentration is a key indicator of plant photosynthetic capacity."
229,230,Tasselled Cap - brightness,SBI,0.3037[450:520]+0.2793[520:600]+0.4743[630:690]+0.5585[760:900]+0.5082[1150:1750]+0.1863[2080:2350],0.30372+0.27933+0.47434+0.55858+0.508210+0.186312,Automatic,More,"The Tasselled Cap Brightness index (SBI) is a measure of the overall brightness of a pixel in a Sentinel-2 image. It is calculated as a weighted sum of the reflectance values in the blue, green, red, and near-infrared bands. The SBI can be used to identify bright objects, such as clouds, snow, or water, and to distinguish between different types of land cover."
230,231,Tasselled Cap - Green Vegetation Index MSS,GVIMSS,-0.283[500:600]-0.660[600:700]+0.577[700:800]+0.388[800:1100],0.0228,Automatic,More,"**Green Vegetation Index Modified Soil-adjusted Vegetation Index (GVIMSS)**

The Green Vegetation Index Modified Soil-adjusted Vegetation Index (GVIMSS) is a vegetation index designed to enhance the detection of green vegetation in areas with high soil brightness. It is a modification of the Soil-adjusted Vegetation Index (SAVI), which was developed to minimize the influence of soil brightness on vegetation indices. GVIMSS uses a different soil adjustment factor than SAVI, which makes it more sensitive to green vegetation in bright soil areas. GVIMSS is calculated using the following formula:

GVIMSS = (2 * NIR - RED + 1) / (2 * NIR + 1 + 0.5)

where NIR is the near-infrared reflectance and RED is the red reflectance.

GVIMSS values range from -1 to 1, with higher values indicating more green vegetation. GVIMSS is a useful index for monitoring vegetation health and biomass, and it has been used in a variety of applications, including agriculture, forestry, and environmental monitoring. It is particularly useful in areas with high soil brightness, such as arid and semi-arid regions."
231,232,Tasselled Cap - Non Such Index MSS,NSIMSS,-0.016[500:600]+0.131[600:700]-0.425[700:800]+0.882[800:1100],0.5724,Automatic,More,"The Tasseled Cap - Non Such Index MSS (NSIMSS) is a vegetation index designed to enhance the detection of subtle changes in vegetation cover, particularly in agricultural areas. It is derived from the Sentinel-2 satellite imagery and is calculated using a linear combination of the reflectance values from the near-infrared, red, and blue bands. NSIMSS is particularly sensitive to changes in vegetation biomass and leaf area index, and it has been successfully used for crop monitoring, land cover classification, and deforestation detection."
232,233,Tasselled Cap - Soil Brightness Index MSS,SBIMSS,0.332[500:600]+0.603[600:700]+0.675[700:800]+0.262[800:1100],0.3323+0.6034+0.6756+0.2629,Automatic,More,"The Soil Brightness Index MSS (SBIMSS) is an index derived from Sentinel-2 imagery using the Tasselled Cap Transformation. It quantifies the brightness of soil surfaces, primarily influenced by soil texture, moisture content, and organic matter. Higher SBIMSS values indicate brighter soils, typically associated with coarser textures, lower moisture content, and reduced organic matter. Conversely, lower SBIMSS values represent darker soils, often indicative of finer textures, higher moisture content, and increased organic matter content. SBIMSS is particularly valuable for characterizing soil properties, monitoring soil degradation, and assessing soil moisture dynamics."
233,234,Tasselled Cap - vegetation,GVI,-0.2848[450:520]-0.2435[520:600]-0.5436[630:690]+0.7243[760:900]+0.0840[1550:1750]-0.1800[2080:2350],-0.443611,Automatic,More,"The Tasselled Cap Transformation (TCT) vegetation index (GVI) is a remote sensing index that measures the amount of green vegetation present in a given area. It is calculated using a linear combination of the red, green, and blue bands of the Sentinel-2 satellite imagery. The GVI is a widely used index for monitoring vegetation growth and health, as it is sensitive to changes in chlorophyll content and leaf area index. It can be used to assess crop yields, estimate biomass, and detect areas of deforestation or degradation."
234,235,Tasselled Cap - wetness,WET,0.1509[450:520]+0.1973[520:600]+0.3279[630:690]+0.3406[760:900]-0.7112[1550:1750]-0.4572[2080:2350],0.15092+0.19733+0.32794+0.34068-0.711211-0.457212,Automatic,More,"The Tasselled Cap - wetness (WET) index is a measure of soil moisture content. It is calculated using a linear combination of bands from the Sentinel-2 satellite imagery. The WET index is sensitive to changes in soil moisture, and it can be used to monitor drought conditions and to estimate crop yields."
235,236,Tasselled Cap - Yellow Vegetation Index MSS,YVIMSS,-0.899[500:600]+0.428[600:700]+0.076[700:800]-0.041[800:1100],-0.4362,Automatic,More,"The Tasselled Cap - Yellow Vegetation Index MSS (YVIMSS) is an index derived from Sentinel 2 imagery that measures the amount of green vegetation present in an area. It is calculated using a combination of bands from the satellite's MultiSpectral Imager (MSI), and it is particularly sensitive to changes in leaf area index and chlorophyll content. YVIMSS values range from -1 to 1, with higher values indicating more vegetation. This index is commonly used to monitor vegetation health and productivity, as well as to map land cover and land use."
236,237,TCARI/OSAVI,TCARI/OSAVI,3(700nm-670nm)-0.2(700nm-550nm)700nm670nm(1+0.16)800nm-670nm800nm+670nm+0.16,3(5-4)-0.2(5-3)54(1+0.16)8-48+4+0.16,Automatic,More,"**TCARI/OSAVI (Transformed Chlorophyll Absorption Ratio Index/Optimized Soil Adjusted Vegetation Index)**

The TCARI/OSAVI index is a vegetation index that is designed to enhance the signal from chlorophyll absorption while minimizing the influence of soil background. It is calculated using the following formula:

(R800 - R550) / (R800 + R670 + 0.16)

where R800, R550, and R670 are the reflectance values at the 800 nm, 550 nm, and 670 nm wavelengths, respectively.

The TCARI/OSAVI index is sensitive to changes in chlorophyll content and can be used to monitor plant health and vegetation cover. It is also relatively insensitive to soil background, making it useful for applications in areas with high soil variability."
237,238,Transformed Chlorophyll Absorbtion Ratio,TCARI,3((700nm-670nm)-0.2(700nm-550nm)(700nm670nm)),3((5-4)-0.2(5-3)(54)),Automatic,More,"Transformed Chlorophyll Absorption Ratio (TCARI) is a vegetation index designed to estimate chlorophyll content in vegetation canopies. It is a normalized ratio that uses the red, blue, and green bands of Sentinel-2 imagery. TCARI is calculated as follows:

TCARI = (R - G) / (R + G - B)

where R, G, and B are the reflectance values in the red, green, and blue bands, respectively. TCARI values range from -1 to 1, with higher values indicating higher chlorophyll content. TCARI is commonly used in remote sensing applications to monitor vegetation health and productivity, as well as to estimate crop yields."
238,239,Transformed NDVI,TNDVI,√NIR-REDNIR+RED+0.5,√9-59+5+0.5,Automatic,More,"The Transformed Normalized Difference Vegetation Index (TNDVI) is a remote sensing index derived from Sentinel 2 imagery. Specifically, it is calculated as (NDVI - Minimum NDVI) / (Maximum NDVI - Minimum NDVI), where NDVI is the Normalized Difference Vegetation Index. TNDVI is designed to enhance the contrast between vegetation and non-vegetation areas, making it particularly useful for vegetation mapping and monitoring. Higher TNDVI values indicate a greater likelihood of vegetation presence."
239,240,Transformed Soil Adjusted Vegetation Index,TSAVI,B(NIR-B·R-A)RED+B(NIR-A)+X(1+B2),B(9-B·5-A)5+B(9-A)+X(1+B2),Automatic,More,"The Transformed Soil Adjusted Vegetation Index (TSAVI) is a vegetation index that measures the amount of vegetation present in an area. It is calculated using the following formula:

TSAVI = (2 * NDVI + 1.5) / (1 + NDVI + 1.2 * NDVI)

where NDVI is the Normalized Difference Vegetation Index.

TSAVI is designed to be less sensitive to soil brightness than NDVI, which can make it more useful for monitoring vegetation in areas with a lot of soil exposed. TSAVI values range from -1 to 1, with higher values indicating more vegetation."
240,241,Transformed Soil Adjusted Vegetation Index 2,TSAVI,a·NIR-a·RED-bRED+a·NIR-a·b,a·9-a·5-b5+a·9-a·b,Automatic,More,"Transformed Soil Adjusted Vegetation Index 2 (TSAVI2) is a vegetation index designed to enhance the sensitivity of the Normalized Difference Vegetation Index (NDVI) to vegetation canopy and reduce the influence of soil background. TSAVI2 is calculated using the formula: (2 * NIR - Red - (2 * NIR + Red + Blue)) / (2 * NIR + Red + Blue), where NIR, Red, and Blue are the reflectance values in the near-infrared, red, and blue bands, respectively. TSAVI2 is particularly useful in areas with sparse vegetation or high soil brightness, as it effectively suppresses soil background noise and highlights vegetation signals."
241,242,Transformed Vegetation Index,TVI,"√(NDVI)+0,5","√((5-35+3))+0,5",Automatic,More,"Transformed Vegetation Index (TVI) is a normalized difference vegetation index (NDVI) that has been transformed to improve its response in areas with high vegetation cover. TVI is calculated as (NIR - Red) / (NIR + Red + 0.5), where NIR is the near-infrared band and Red is the red band. The 0.5 constant is added to the denominator to avoid division by zero. TVI is a measure of the amount of vegetation in an area, and it is often used to map vegetation cover and monitor changes in vegetation over time."
242,243,Triangular chlorophyll index,TCI,1.2(700nm-550nm)-1.5(670nm-550nm)·√700nm670nm,1.2(5-3)-1.5(4-3)·√54,Automatic,More,"Triangular Chlorophyll Index (TCI) is a vegetation index designed to estimate chlorophyll concentration in vegetation canopies. It utilizes the reflectance values in the red, blue, and green bands of the Sentinel-2 satellite imagery. TCI is calculated as:

TCI = (R770 - R660) / (R770 + R660 - 2 * R560)

where R770, R660, and R560 represent the reflectance values in the 770 nm, 660 nm, and 560 nm bands, respectively. TCI values range from -1 to 1, with higher values indicating higher chlorophyll concentration."
243,244,Vegetation Index 700,VI700,700nm-[660:680]700nm+[660:680],5-45+4,Automatic,More,"Vegetation Index 700 (VI700) is a spectral index derived from the Sentinel-2 satellite imagery. It is calculated using the reflectance values in the red (665 nm) and near-infrared (842 nm) bands. VI700 is designed to enhance the vegetation signal in an image by reducing the influence of atmospheric effects and soil background. High values of VI700 indicate dense, healthy vegetation, while low values indicate sparse or stressed vegetation. It is commonly used for vegetation monitoring, land cover classification, and agricultural applications."
244,245,Visible Atmospherically Resistant Index Green,VARIgreen,[545:565]-[620:680][545:565]+[620:680]-[459:490],3-43+4-2,Automatic,More,"The Visible Atmospherically Resistant Index Green (VARIgreen) is a satellite-based vegetation index that measures the greenness of vegetation. It is calculated using a combination of red, green, and blue bands from the Sentinel-2 satellite. VARIgreen is designed to be resistant to atmospheric effects, such as haze and clouds, which can interfere with other vegetation indices. As a result, VARIgreen is a more accurate measure of vegetation greenness than other indices, especially in areas with high levels of atmospheric interference."
245,246,Visible Atmospherically Resistant Indices 700,VARI700,"[700]-1,7[660:680]+0,7[470:490][700]+2,3[660:680]-1,3[470:490]","5-1,74+0,725+2,34-1,32",Automatic,More,"Visible Atmospherically Resistant Indices (VARI) 700 is designed to enhance the reflectance of vegetation in the visible spectrum (700 nm) while minimizing the influence of atmospheric conditions. By reducing the impact of atmospheric scattering and absorption, VARI 700 facilitates more accurate monitoring of vegetation health, growth, and productivity. It is particularly useful for assessing vegetation in areas affected by atmospheric haze or high aerosol concentrations, where traditional vegetation indices like NDVI may be less effective."
246,247,Visible Atmospherically Resistant Indices RedEdge,VARIrededge,[700:710]-[620:680][700:710]+[620:680],5-45+4,Automatic,More,"The Visible Atmospherically Resistant Indices RedEdge (VARIrededge) is a spectral index specifically designed for use with the RedEdge camera onboard the Sentinel-2 satellite. This index is calculated using a combination of bands in the visible and near-infrared spectrum and is designed to enhance the detection of vegetation and minimize the effects of atmospheric interference. VARIrededge is particularly useful for applications such as vegetation mapping, crop monitoring, and precision agriculture."
247,248,Weighted Difference Vegetation Index,WDVI,NIR-a·RED,9-a·5,Automatic,More,"Weighted Difference Vegetation Index (WDVI) is calculated using a weighted combination of reflectance values from the green, red, and near-infrared bands of Sentinel-2 imagery. It enhances the contrast between vegetation and non-vegetation areas by emphasizing the contribution of near-infrared reflectance, which is strongly absorbed by chlorophyll in healthy vegetation. WDVI values range from -1 to 1, with higher values indicating denser and healthier vegetation cover. It is commonly used for monitoring vegetation health, biomass estimation, and land cover classification."
248,249,Wide Dynamic Range Vegetation Index,WDRVI,0.1NIR-RED0.1NIR+RED,0.19-50.19+5,Automatic,More,"Wide Dynamic Range Vegetation Index (WDRVI) is a vegetation index that is designed to be sensitive to vegetation in a wide range of conditions, from low to high biomass. It is calculated using the following formula:

WDRVI = (NIR - Red) / (NIR + Red + Blue)
 
where NIR is the near-infrared band, Red is the red band, and Blue is the blue band.

WDRVI values range from -1 to 1, with higher values indicating more vegetation. WDRVI is particularly useful for mapping vegetation in areas with high atmospheric haze or smoke, as it is less affected by these factors than other vegetation indices."
